epoch,train_loss,train_px_mean,train_px_90p,train_conf_mean
167,0.306643,2.36,4.47,0.998
168,0.306574,2.36,4.24,0.998
169,0.306322,2.32,4.47,0.998
170,0.306075,2.30,4.24,0.998
171,0.305949,2.30,4.24,0.998
172,0.305914,2.30,4.24,0.998
173,0.305750,2.30,4.24,0.998
174,0.305728,2.26,4.12,0.998
175,0.305588,2.25,4.12,0.998
176,0.305597,2.23,4.12,0.999
177,0.305496,2.22,4.12,0.998
178,0.305568,2.23,4.12,0.998
179,0.305524,2.20,4.12,0.998
180,0.305646,2.24,4.12,0.998
181,0.305770,2.20,4.12,0.998
182,0.305550,2.21,4.12,0.999
183,0.305466,2.23,4.12,0.999
184,0.305186,2.20,4.12,0.998
185,0.316198,2.62,5.00,0.996
186,0.352945,3.90,7.21,0.995
187,0.345785,2.99,5.66,0.996
188,0.325743,2.70,5.00,0.996
189,0.314363,2.52,5.00,0.998
190,0.312420,2.49,4.47,0.998
191,0.312966,2.52,4.47,0.998
192,0.310176,2.35,4.24,0.998
193,0.306638,2.31,4.24,0.998
194,0.305758,2.27,4.12,0.998
195,0.305598,2.25,4.12,0.998
196,0.305417,2.25,4.12,0.998
197,0.305284,2.25,4.12,0.998
198,0.305210,2.20,4.12,0.998
199,0.305083,2.21,4.12,0.998
200,0.305118,2.22,4.12,0.999
