-3.786808220521462154e+00,6.104614213068577655e-01,4.503911411668914155e+01
3.967134591343718597e+00,-1.102664246672204484e+01,2.722733565086238627e+01
-4.285774740259189031e+00,8.194158984741472196e+00,3.893573637384599806e+01
2.500040182842847791e+00,-2.126055888489501111e+00,2.138597979050477704e+01
2.741612248739742963e+00,3.024197791736337945e-02,2.086547304409265280e+01
9.735575979925691348e-01,-1.275300395102268425e+01,2.832402480417211521e+01
-6.238852898059137786e+00,-4.532767555807802218e+00,4.044790079808627326e+01
2.051500104805273228e+00,-3.587891909889685760e+00,4.022144615300197046e+01
-2.276551097150916636e+00,-8.482974035531210433e+00,3.168972850751386972e+01
6.999625889371309029e+00,-5.086233558048454562e+00,3.552217300452021220e+01
6.290079842714221492e+00,3.256647207225934704e+00,3.101836263969833851e+01
-5.336480210545467173e+00,1.931260157674188349e+00,2.663635585928590643e+01
2.707191731234274812e+00,9.478983230975059016e+00,3.742632638590853134e+01
3.612100320291645517e+00,7.199134892168938649e+00,3.496542938715617055e+01
-3.467660113123840482e+00,8.700339095593985661e+00,3.584994580302277711e+01
