1.148396926535736329e+00,-5.485554256636866910e+00,5.729121438397228872e+01
-7.885358908240704956e+00,1.674099613625417504e+01,2.967750065093190770e+01
6.280743663135666566e+00,-1.676078339580612209e+01,4.542650018845016291e+01
-8.607620800199320410e-01,3.355008745404844284e+00,1.865822228633606983e+01
-4.022168885149549622e-01,-6.758807383724112217e-02,1.684570386473209069e+01
-3.810642504800175967e+00,1.872231741045868603e+01,3.328141242188006288e+01
6.164339869610359735e+00,4.376746476901684169e+00,5.284215632732781387e+01
-7.830074276210884143e+00,1.767224682948572712e+00,4.908420423055083148e+01
1.576918503181384601e+00,1.342687757925320469e+01,3.922074168904885028e+01
-1.437217282587432621e+01,4.810391524879555014e+00,3.977591556073559786e+01
-9.444772212934022804e+00,-7.355936719253797662e+00,3.219224190900958860e+01
1.150318000296410581e+01,-2.783155367772033095e+00,2.798582708327369062e+01
-4.171275020451318483e+00,-1.993679617267992299e+01,4.055930012207729618e+01
-4.859906545154679236e+00,-1.478448144070662629e+01,3.626576936785999550e+01
6.622539599798312970e+00,-1.730238783114890921e+01,4.059303019478431906e+01
